osm_type,osm_id,name,place_type,amenity,tourism,cuisine,lat,lon,addr_housenumber,addr_street,addr_city,addr_postcode,address,phone,website,opening_hours,wheelchair,brand,source,tags_json
way,68587725,Biagio's,restaurant,restaurant,,italian,45.3645306,-75.788307,1394,Richmond Road,Ottawa,,1394 Richmond Road,,,,,,City of Ottawa,"{""@id"": ""way/68587725"", ""addr:housenumber"": ""1394"", ""addr:street"": ""Richmond Road"", ""amenity"": ""restaurant"", ""building"": ""commercial"", ""cuisine"": ""italian"", ""name"": ""Biagio's"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,68588409,Fairmont Château Laurier,hotel,,hotel,,45.4255846,-75.6952241,1,Rideau Street,Ottawa,,1 Rideau Street,,,,yes,Fairmont,City of Ottawa,"{""@id"": ""way/68588409"", ""addr:housenumber"": ""1"", ""addr:street"": ""Rideau Street"", ""alt_name"": ""Château Laurier"", ""brand"": ""Fairmont"", ""brand:wikidata"": ""Q1393345"", ""brand:wikipedia"": ""en:Fairmont Hotels and Resorts"", ""building"": ""hotel"", ""building:colour"": ""beige"", ""building:levels"": ""12"", ""building:material"": ""stone"", ""heritage"": ""2"", ""heritage:operator"": ""hsmbc"", ""heritage:website"": ""https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=14549"", ""historic"": ""building;yes"", ""hsmbc:criteria"": ""nhs"", ""hsmbc:inscription_date"": ""1981-01-15"", ""internet_access"": ""yes"", ""layer"": ""1"", ""name"": ""Fairmont Château Laurier"", ""name:en"": ""Fairmont Château Laurier"", ""name:ko"": ""페어몬트 샤토 로리에"", ""name:zh"": ""勞里埃城堡費爾蒙酒店;劳里埃城堡费尔蒙酒店"", ""name:zh-Hans"": ""劳里埃城堡费尔蒙酒店"", ""name:zh-Hant"": ""勞里埃城堡費爾蒙酒店"", ""old_name"": ""Château Laurier"", ""operator"": ""Fairmont"", ""ref:hpc"": ""14549"", ""roof:material"": ""copper"", ""rooms"": ""429"", ""source"": ""City of Ottawa"", ""stars"": ""4"", ""survey:date"": ""2012-11-14"", ""tourism"": ""hotel"", ""wheelchair"": ""yes"", ""wikidata"": ""Q2089212"", ""wikipedia"": ""en:Château Laurier"", ""@geometry"": ""center""}"
way,68608261,Ottawa Best Hotel,motel,,motel,,45.2974741,-75.5795952,5033,Bank Street,Ottawa,,5033 Bank Street,,,,,,City of Ottawa,"{""@id"": ""way/68608261"", ""addr:housenumber"": ""5033"", ""addr:street"": ""Bank Street"", ""building"": ""yes"", ""check_date"": ""2024-06-27"", ""name"": ""Ottawa Best Hotel"", ""source"": ""City of Ottawa"", ""tourism"": ""motel"", ""@geometry"": ""center""}"
way,68609059,Red Lobster,restaurant,restaurant,,seafood,45.3521242,-75.7324742,1595,Merivale Road,Ottawa,K2G 3J4,1595 Merivale Road,+1-613-727-0035,https://www.redlobster.ca/,"Su-Th 11:00-22:00; Fr,Sa 11:00-23:00",,Red Lobster,,"{""@id"": ""way/68609059"", ""addr:housenumber"": ""1595"", ""addr:postcode"": ""K2G 3J4"", ""addr:street"": ""Merivale Road"", ""amenity"": ""restaurant"", ""brand"": ""Red Lobster"", ""brand:wikidata"": ""Q846301"", ""brand:wikipedia"": ""en:Red Lobster"", ""building"": ""retail"", ""building:levels"": ""1"", ""check_date:opening_hours"": ""2024-09-06"", ""cuisine"": ""seafood"", ""name"": ""Red Lobster"", ""opening_hours"": ""Su-Th 11:00-22:00; Fr,Sa 11:00-23:00"", ""phone"": ""+1-613-727-0035"", ""website"": ""https://www.redlobster.ca/"", ""@geometry"": ""center""}"
way,68609417,Kanata Noodle House,restaurant,restaurant,,vietnamese;noodle,45.3385213,-75.9065945,4049,Carling Avenue,Ottawa,,4049 Carling Avenue,+1 613-435-8817,https://carling.kanatanoodlehouse.com/,,,,Bing,"{""@id"": ""way/68609417"", ""addr:housenumber"": ""4049"", ""addr:street"": ""Carling Avenue"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""cuisine"": ""vietnamese;noodle"", ""internet_access"": ""wlan"", ""name"": ""Kanata Noodle House"", ""phone"": ""+1 613-435-8817"", ""source"": ""Bing"", ""start_date"": ""1976..1991"", ""website"": ""https://carling.kanatanoodlehouse.com/"", ""@geometry"": ""center""}"
way,68609468,Comfort Inn Ottawa West - Kanata,hotel,,hotel,,45.315366,-75.893299,222,Hearst Way,Ottawa,K2L 3A2,222 Hearst Way,+1-613-592-2200,http://www.comfortinnkanata.com,,limited,Comfort Inn,hotel_owner,"{""@id"": ""way/68609468"", ""addr:housename"": ""Comfort Inn"", ""addr:housenumber"": ""222"", ""addr:postcode"": ""K2L 3A2"", ""addr:street"": ""Hearst Way"", ""brand"": ""Comfort Inn"", ""brand:wikidata"": ""Q113152349"", ""building"": ""commercial"", ""fax"": ""+1-613-591-9600"", ""name"": ""Comfort Inn Ottawa West - Kanata"", ""operator"": ""Comfort Inn"", ""phone"": ""+1-613-592-2200"", ""source"": ""hotel_owner"", ""start_date"": ""1976..1991"", ""tourism"": ""hotel"", ""website"": ""http://www.comfortinnkanata.com"", ""wheelchair"": ""limited"", ""@geometry"": ""center""}"
way,68658087,Days Inn Ottawa West,hotel,,hotel,,45.3227291,-75.8343869,350,Moodie Drive,Ottawa,,350 Moodie Drive,,,,,Days Inn,City of Ottawa,"{""@id"": ""way/68658087"", ""addr:housenumber"": ""350"", ""addr:street"": ""Moodie Drive"", ""brand"": ""Days Inn"", ""brand:wikidata"": ""Q1047239"", ""brand:wikipedia"": ""en:Days Inn"", ""building"": ""commercial"", ""building:levels"": ""6"", ""name"": ""Days Inn Ottawa West"", ""operator"": ""Wyndham Hotels and Resorts"", ""operator:wikidata"": ""Q8040120"", ""operator:wikipedia"": ""en:Wyndham Hotels and Resorts"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""@geometry"": ""center""}"
way,68658236,Persis Grill,restaurant,restaurant,,,45.3225077,-75.8342185,360,Moodie Drive,Ottawa,K2H 8G3,360 Moodie Drive,,,,,,City of Ottawa,"{""@id"": ""way/68658236"", ""addr:housenumber"": ""360"", ""addr:postcode"": ""K2H 8G3"", ""addr:street"": ""Moodie Drive"", ""amenity"": ""restaurant"", ""building"": ""commercial"", ""name"": ""Persis Grill"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,68658320,Zola's,restaurant,restaurant,,italian,45.3188041,-75.840178,2194,Robertson Road,Ottawa,,2194 Robertson Road,,,,,,City of Ottawa,"{""@id"": ""way/68658320"", ""addr:housenumber"": ""2194"", ""addr:street"": ""Robertson Road"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""building:start_date"": ""1986"", ""cuisine"": ""italian"", ""name"": ""Zola's"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,68658347,Holiday Inn Express & Suites Ottawa West - Nepean,hotel,,hotel,,45.3236365,-75.830781,2055,Robertson Road,Ottawa,,2055 Robertson Road,,,,,Holiday Inn Express & Suites,City of Ottawa,"{""@id"": ""way/68658347"", ""addr:housenumber"": ""2055"", ""addr:street"": ""Robertson Road"", ""brand"": ""Holiday Inn Express & Suites"", ""brand:wikidata"": ""Q5880423"", ""brand:wikipedia"": ""en:Holiday Inn Express"", ""building"": ""hotel"", ""building:colour"": ""beige"", ""building:levels"": ""6"", ""building:material"": ""stucco"", ""name"": ""Holiday Inn Express & Suites Ottawa West - Nepean"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""wikidata"": ""Q111392208"", ""@geometry"": ""center""}"
way,68661889,Holiday Inn Ottawa East,hotel,,hotel,,45.422889,-75.6342635,1199,Joseph Cyr Street,Ottawa,K1J 7T4,1199 Joseph Cyr Street,,,,yes,Holiday Inn,City of Ottawa,"{""@id"": ""way/68661889"", ""addr:housename"": ""Holiday Inn"", ""addr:housenumber"": ""1199"", ""addr:postcode"": ""K1J 7T4"", ""addr:street"": ""Joseph Cyr Street"", ""alt_name"": ""Holiday Inn Ottawa East"", ""brand"": ""Holiday Inn"", ""brand:wikidata"": ""Q2717882"", ""brand:wikipedia"": ""en:Holiday Inn"", ""building"": ""hotel"", ""internet_access"": ""yes"", ""name"": ""Holiday Inn Ottawa East"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""wheelchair"": ""yes"", ""wikidata"": ""Q111392204"", ""@geometry"": ""center""}"
way,68661987,Lone Star Texas Grill,restaurant,restaurant,,tex-mex,45.422197,-75.6340735,1211,Lemieux Street,Ottawa,K1J 1A2,1211 Lemieux Street,+1-613-742-9378,https://lonestartexasgrill.com/,,yes,Lone Star Texas Grill,City of Ottawa,"{""@id"": ""way/68661987"", ""addr:housenumber"": ""1211"", ""addr:postcode"": ""K1J 1A2"", ""addr:street"": ""Lemieux Street"", ""amenity"": ""restaurant"", ""brand"": ""Lone Star Texas Grill"", ""brand:wikidata"": ""Q133255608"", ""building"": ""commercial"", ""building:levels"": ""6"", ""changing_table"": ""yes"", ""cuisine"": ""tex-mex"", ""delivery"": ""no"", ""internet_access"": ""no"", ""name"": ""Lone Star Texas Grill"", ""phone"": ""+1-613-742-9378"", ""smoking"": ""outside"", ""source"": ""City of Ottawa"", ""takeaway"": ""yes"", ""website"": ""https://lonestartexasgrill.com/"", ""wheelchair"": ""yes"", ""@geometry"": ""center""}"
way,68899677,Red Lobster,restaurant,restaurant,,seafood,45.4127557,-75.630351,1499,St-Laurent Boulevard,Ottawa,,1499 St-Laurent Boulevard,,,,,Red Lobster,CanVec 6.0 - NRCan,"{""@id"": ""way/68899677"", ""addr:housenumber"": ""1499"", ""addr:street"": ""St-Laurent Boulevard"", ""amenity"": ""restaurant"", ""brand"": ""Red Lobster"", ""brand:wikidata"": ""Q846301"", ""brand:wikipedia"": ""en:Red Lobster"", ""building"": ""commercial"", ""cuisine"": ""seafood"", ""name"": ""Red Lobster"", ""source"": ""CanVec 6.0 - NRCan"", ""@geometry"": ""center""}"
way,68899703,Robbies,restaurant,restaurant,,italian,45.4117005,-75.6297265,1531,St-Laurent Boulevard,Ottawa,,1531 St-Laurent Boulevard,,,,,,City of Ottawa,"{""@id"": ""way/68899703"", ""addr:housenumber"": ""1531"", ""addr:street"": ""St-Laurent Boulevard"", ""amenity"": ""restaurant"", ""building"": ""industrial"", ""cuisine"": ""italian"", ""name"": ""Robbies"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,68899747,Comfort Inn Ottawa East,hotel,,hotel,,45.421316,-75.632164,1252,Michael Street North,Ottawa,K1J 7T1,1252 Michael Street North,+1-613-744-2900,http://ottawaeastcomfortinn.com,,yes,Comfort Inn,City of Ottawa,"{""@id"": ""way/68899747"", ""addr:housename"": ""Comfort Inn Ottawa East"", ""addr:housenumber"": ""1252"", ""addr:postcode"": ""K1J 7T1"", ""addr:street"": ""Michael Street North"", ""atm"": ""yes"", ""brand"": ""Comfort Inn"", ""brand:wikidata"": ""Q113152349"", ""brand:wikipedia"": ""en:Choice Hotels International"", ""building"": ""commercial"", ""building:levels"": ""2"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""Comfort Inn Ottawa East"", ""phone"": ""+1-613-744-2900"", ""roof:levels"": ""1"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""website"": ""http://ottawaeastcomfortinn.com"", ""wheelchair"": ""yes"", ""@geometry"": ""center""}"
way,70330962,Canal Ritz,restaurant,restaurant,,,45.404127,-75.6816785,375,Queen Elizabeth Driveway,Ottawa,,375 Queen Elizabeth Driveway,+1-613-238-8998,http://www.canalritz.com/,Mo-Th 11:30-22:00; Fr 11:30-23:00; Sa 11:00-23:00; Su 11:00-22:00,,,City of Ottawa,"{""@id"": ""way/70330962"", ""addr:housenumber"": ""375"", ""addr:street"": ""Queen Elizabeth Driveway"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""check_date"": ""2025-12-31"", ""name"": ""Canal Ritz"", ""opening_hours"": ""Mo-Th 11:30-22:00; Fr 11:30-23:00; Sa 11:00-23:00; Su 11:00-22:00"", ""phone"": ""+1-613-238-8998"", ""source"": ""City of Ottawa"", ""website"": ""http://www.canalritz.com/"", ""@geometry"": ""center""}"
way,95171338,Milestones,restaurant,restaurant,,bar_and_grill,45.352023,-75.783816,1080,Baxter Road,Ottawa,,1080 Baxter Road,,,,,Milestones,Bing,"{""@id"": ""way/95171338"", ""addr:housenumber"": ""1080"", ""addr:street"": ""Baxter Road"", ""amenity"": ""restaurant"", ""brand"": ""Milestones"", ""brand:wikidata"": ""Q6851623"", ""building"": ""retail"", ""building:levels"": ""1"", ""cuisine"": ""bar_and_grill"", ""name"": ""Milestones"", ""source"": ""Bing"", ""@geometry"": ""center""}"
way,129431482,Best Western Plus Ottawa City Centre,hotel,,hotel,,45.3857155,-75.732994,1274,Carling Avenue,Ottawa,,1274 Carling Avenue,,http://www.bestwestern.com/,,,Best Western Plus,City of Ottawa,"{""@id"": ""way/129431482"", ""addr:housenumber"": ""1274"", ""addr:street"": ""Carling Avenue"", ""brand"": ""Best Western Plus"", ""brand:wikidata"": ""Q830334"", ""brand:wikipedia"": ""en:Best Western"", ""building"": ""commercial"", ""building:levels"": ""4"", ""check_date"": ""2022-09-29"", ""name"": ""Best Western Plus Ottawa City Centre"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""website"": ""http://www.bestwestern.com/"", ""wikidata"": ""Q111392201"", ""@geometry"": ""center""}"
way,129435334,La Cabaña,restaurant,restaurant,,spanish,45.3854532,-75.7326059,848,Merivale Road,Ottawa,,848 Merivale Road,+1 613-724-7762,,,limited,,,"{""@id"": ""way/129435334"", ""addr:housenumber"": ""848"", ""addr:street"": ""Merivale Road"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""check_date"": ""2022-09-18"", ""cuisine"": ""spanish"", ""name"": ""La Cabaña"", ""phone"": ""+1 613-724-7762"", ""wheelchair"": ""limited"", ""@geometry"": ""center""}"
way,129435336,Amigo's,restaurant,restaurant,,,45.3847796,-75.732877,858,Merivale Road,Ottawa,,858 Merivale Road,,,,,,City of Ottawa,"{""@id"": ""way/129435336"", ""addr:housenumber"": ""858"", ""addr:street"": ""Merivale Road"", ""amenity"": ""restaurant"", ""building"": ""commercial"", ""name"": ""Amigo's"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,131639111,ARC The.Hotel Ottawa,hotel,,hotel,,45.4203751,-75.6969157,140,Slater Street,Ottawa,,140 Slater Street,,,,,,Bing,"{""@id"": ""way/131639111"", ""addr:housenumber"": ""140"", ""addr:street"": ""Slater Street"", ""building"": ""commercial"", ""building:levels"": ""8"", ""name"": ""ARC The.Hotel Ottawa"", ""source"": ""Bing"", ""tourism"": ""hotel"", ""wikidata"": ""Q111231494"", ""@geometry"": ""center""}"
way,131639112,Sheraton Ottawa Hotel,hotel,,hotel,,45.4207945,-75.697698,150,Albert Street,Ottawa,,150 Albert Street,,,,yes,Sheraton,City of Ottawa,"{""@id"": ""way/131639112"", ""addr:housenumber"": ""150"", ""addr:street"": ""Albert Street"", ""brand"": ""Sheraton"", ""brand:wikidata"": ""Q634831"", ""brand:wikipedia"": ""en:Sheraton Hotels and Resorts"", ""building"": ""yes"", ""building:levels"": ""16"", ""check_date"": ""2024-07-04"", ""ele"": ""15"", ""name"": ""Sheraton Ottawa Hotel"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""wheelchair"": ""yes"", ""wikidata"": ""Q111392196"", ""@geometry"": ""center""}"
way,131640997,Trofi,restaurant,restaurant,,greek,45.4159147,-75.695665,343,Somerset Street West,Ottawa,K2P 0J8,343 Somerset Street West,,,,,,City of Ottawa,"{""@id"": ""way/131640997"", ""addr:housenumber"": ""343"", ""addr:postcode"": ""K2P 0J8"", ""addr:street"": ""Somerset Street West"", ""amenity"": ""restaurant"", ""building"": ""yes"", ""cuisine"": ""greek"", ""name"": ""Trofi"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,131640999,Union 613,restaurant,restaurant,,,45.416212,-75.6949704,315,Somerset Street West,Ottawa,K2P 0J8,315 Somerset Street West,,,,no,,City of Ottawa,"{""@id"": ""way/131640999"", ""addr:housenumber"": ""315"", ""addr:postcode"": ""K2P 0J8"", ""addr:street"": ""Somerset Street West"", ""amenity"": ""restaurant"", ""building"": ""yes"", ""mapillary"": ""330498098438169"", ""name"": ""Union 613"", ""source"": ""City of Ottawa"", ""wheelchair"": ""no"", ""@geometry"": ""center""}"
way,143444498,Gyubee Japanese Grill,restaurant,restaurant,,japanese,45.3614224,-75.7332776,1463,Merivale Road,Ottawa,K2E 5N9,1463 Merivale Road,,,Mo-Su 11:30-22:30,,,,"{""@id"": ""way/143444498"", ""addr:housenumber"": ""1463"", ""addr:postcode"": ""K2E 5N9"", ""addr:street"": ""Merivale Road"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""cuisine"": ""japanese"", ""name"": ""Gyubee Japanese Grill"", ""opening_date"": ""2023-12-31"", ""opening_hours"": ""Mo-Su 11:30-22:30"", ""@geometry"": ""center""}"
way,144458923,Sushi Kanata,restaurant,restaurant,,sushi,45.3102055,-75.9097358,655,Kanata Avenue,Ottawa,,655 Kanata Avenue,,,,,,,"{""@id"": ""way/144458923"", ""addr:housenumber"": ""655"", ""addr:street"": ""Kanata Avenue"", ""addr:unit"": ""L1"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""cuisine"": ""sushi"", ""name"": ""Sushi Kanata"", ""start_date"": ""1999..2002"", ""@geometry"": ""center""}"
way,151906219,NEXT,restaurant,restaurant,,,45.2629098,-75.9431974,6400,Hazeldean Road,Ottawa,,6400 Hazeldean Road,,,,,,City of Ottawa,"{""@id"": ""way/151906219"", ""addr:housenumber"": ""6400"", ""addr:street"": ""Hazeldean Road"", ""amenity"": ""restaurant"", ""building"": ""commercial"", ""name"": ""NEXT"", ""source"": ""City of Ottawa"", ""@geometry"": ""center""}"
way,152493245,Days Inn Downtown Ottawa,hotel,,hotel,,45.4295781,-75.6850611,319,Rideau Street,Ottawa,,319 Rideau Street,+1-613-789-5555,http://www.daysinndowntownottawa.com,,yes,Days Inn,,"{""@id"": ""way/152493245"", ""addr:housenumber"": ""319"", ""addr:street"": ""Rideau Street"", ""brand"": ""Days Inn"", ""brand:wikidata"": ""Q1047239"", ""brand:wikipedia"": ""en:Days Inn"", ""building"": ""hotel"", ""building:levels"": ""3"", ""mapillary"": ""301520531433645"", ""name"": ""Days Inn Downtown Ottawa"", ""official_name"": ""Days Inn by Wyndham"", ""phone"": ""+1-613-789-5555"", ""survey:date"": ""2012-11-14"", ""tourism"": ""hotel"", ""website"": ""http://www.daysinndowntownottawa.com"", ""wheelchair"": ""yes"", ""@geometry"": ""center""}"
way,152494678,Econo Lodge,motel,,motel,,45.4315957,-75.6801261,475,Rideau Street,Ottawa,,475 Rideau Street,,,,,Econo Lodge,City of Ottawa,"{""@id"": ""way/152494678"", ""addr:housenumber"": ""475"", ""addr:street"": ""Rideau Street"", ""alt_name"": ""Econo Lodge Downtown"", ""brand"": ""Econo Lodge"", ""brand:wikidata"": ""Q5333330"", ""brand:wikipedia"": ""en:Econo Lodge"", ""building"": ""commercial"", ""name"": ""Econo Lodge"", ""source"": ""City of Ottawa"", ""tourism"": ""motel"", ""@geometry"": ""center""}"
way,153008604,Ten Sushi Japanese Cuisine,restaurant,restaurant,,japanese,45.3984737,-75.7364986,1310,Wellington Street West,Ottawa,K1Y 3B2,1310 Wellington Street West,,,09:00-18:00,,,City of Ottawa,"{""@id"": ""way/153008604"", ""addr:housenumber"": ""1310"", ""addr:postcode"": ""K1Y 3B2"", ""addr:street"": ""Wellington Street West"", ""alt_name"": ""Herb and Spice"", ""amenity"": ""restaurant"", ""building"": ""retail"", ""building:levels"": ""1"", ""check_date"": ""2025-11-15"", ""cuisine"": ""japanese"", ""description"": ""Closed 14 July 2023"", ""mapillary"": ""zVHxqOx0f59_ZMT-nf5bIQ"", ""name"": ""Ten Sushi Japanese Cuisine"", ""note"": ""Closes 14 July 2023"", ""opening_hours"": ""09:00-18:00"", ""source"": ""City of Ottawa"", ""survey:date"": ""2019-04-05"", ""@geometry"": ""center""}"
